Empresa,CNPJ,Email,Status
Adi Solutions Ltda,62.472.961/0001-56,adisolutionsmestre@gmail.com,FALSE
Associação Cultura Cidade e Arte,05.053.096/0001-70,marciapela@culturacidadeearte.org,FALSE
Brain Analytics,43.668.269/0001-53,thiago.giani@brainanalytics.com.br,FALSE
Cerrado Tech,09.442.301/0001-40,tasso@cerradoinformatica.com.br,FALSE
Cooperativa Bordana,14.527.525/0001-94,celmacgo@gmail.com,FALSE
Hd Editar E Inovar Ltda,06.128.866/0001-69,adm@hdtecnologia.com.br,FALSE
Interagi Tecnologia Ltda,05.045.317/0001-68,regner@interagi.com.br,FALSE
Ion Tecnologia Da Inovação,10.310.319/0001-77,wellington@iontecnologia.com.br,FALSE
Oct7 Ltda,53.144.370/0001-69,alexcalaca@gmail.com,FALSE
Pfao Comercio de Alimentos e Bebidas Ltda,51.577.504/0001-00,pedrofelipee@gmail.com,FALSE
Sidkron Cyber Security Ltda,39.701.434/0001-54,denise@sidkron.com.br,FALSE
